,block_id,previous_solution,timeout,solver_time_in_sec,outcome,initial_n_instrs,model_found,shown_optimal,initial_length,saved_length,checker,reason,solution_found,optimized_n_instrs,optimized_length
2153,lesseqthan.wasm_function_13_block_0_18,"local.get[local_index(3)] i64.const[4294967295] i64.and local.get[local_index(5)] local.get[local_index(1)] i64.load32_u[2,24] local.tee[local_index(18)] i64.mul i64.add local.set[local_index(3)] local.get[local_index(4)] local.get[local_index(3)] i64.const[32] i64.shr_u i64.add local.set[local_index(4)] local.get[local_index(3)] i64.const[4294967295] i64.and local.get[local_index(7)]",10,210.86,optimal,20,True,True,20,1,True,,i64.const_0 GET1 i64.const_0 i64.and_0 local.get_1 local.get_0 i64.load32_u_5 TEE3 i64.mul_0 i64.add_0 TEE1 GET2 GET1 i64.const_1 i64.shr_u_0 i64.add_1 SET2 i64.and_1 local.get_2,19.0,19.0
2154,lesseqthan.wasm_function_14_block_0_54,"local.get[local_index(5)] i64.add local.set[local_index(3)] local.get[local_index(1)] local.get[local_index(2)] i64.store32[2,52] local.get[local_index(3)] local.set[local_index(4)] local.get[local_index(4)] i64.const[32] i64.shr_u local.set[local_index(5)] i64.const[0] local.set[local_index(2)] i64.const[0] local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and i64.const[1]",10,22.5,optimal,20,True,True,20,7,True,,GET4 local.get_0 GET1 i64.store32_5 i64.add_0 TEE3 i64.const_2 i64.shr_u_0 SET4 i64.const_1 TEE1 TEE2 i64.const_0,13.0,13.0
2155,montgomery2edwards.wasm_function_6_block_0,"local.get[local_index(0)] i64.load[3,24] i64.eqz",10,0.18,optimal,3,True,True,3,0,True,,local.get_0 i64.load_1 i64.eqz_0,3.0,3.0
2156,greaterthan.wasm_function_14_block_0_32,i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(8)] local.get[local_index(12)] i64.mul i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(9)],10,175.7,optimal,20,True,True,20,3,True,,i64.add_1 GET1 i64.const_0 i64.and_0 local.get_0 local.get_2 i64.mul_0 i64.add_0 TEE1 i64.const_1 i64.shr_u_0 i64.add_2 SET2 GET1 i64.const_0 i64.and_1 local.get_1,17.0,17.0
2157,lesseqthan.wasm_function_9_block_18,"local.get[local_index(0)] i64.load[3,0] local.get[local_index(1)] i64.load[3,0] i64.gt_u",10,0.35,optimal,5,True,True,5,0,True,,local.get_0 i64.load_1 local.get_1 i64.load_3 i64.gt_u_0,5.0,5.0
2158,montgomery2edwards.wasm_function_13_block_0_31,local.get[local_index(3)] i64.const[4294967295] i64.and local.get[local_index(11)] local.get[local_index(16)] i64.mul i64.add local.set[local_index(3)] local.get[local_index(4)] local.get[local_index(3)] i64.const[32] i64.shr_u i64.add local.set[local_index(4)] local.get[local_index(3)] i64.const[4294967295] i64.and local.get[local_index(13)] local.get[local_index(14)] i64.mul,10,89.89,optimal,20,True,True,20,1,True,,i64.const_0 local.get_3 local.get_0 i64.mul_1 i64.const_0 GET1 i64.and_0 i64.add_0 TEE1 i64.and_1 local.get_1 local.get_2 GET2 GET1 i64.const_1 i64.shr_u_0 i64.add_1 SET2 i64.mul_0,19.0,19.0
2159,babyadd_tester.wasm_function_13_block_0_43,"i64.store32[2,40] local.get[local_index(4)] i64.const[32] i64.shr_u local.set[local_index(3)] local.get[local_index(4)] i64.const[4294967295] i64.and local.get[local_index(13)] local.get[local_index(20)] i64.mul i64.add local.set[local_index(4)] local.get[local_index(3)] local.get[local_index(4)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(4)]",10,151.01,optimal,20,True,True,20,3,True,,i64.store32_0 GET2 i64.const_1 i64.shr_u_1 local.get_1 local.get_0 i64.mul_0 i64.const_0 GET2 i64.and_0 i64.add_0 TEE2 i64.const_1 i64.shr_u_0 i64.add_1 SET1 GET2,17.0,17.0
2160,greatereqthan.wasm_function_14_block_0_56,i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(4)] i64.const[4294967295] i64.and i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.get[local_index(5)] i64.add local.set[local_index(3)],10,179.3,optimal,20,True,True,20,3,True,,i64.const_1 i64.shr_u_1 i64.add_1 i64.const_0 local.get_0 i64.and_0 i64.const_0 GET1 i64.and_1 i64.add_0 TEE1 i64.const_1 i64.shr_u_0 i64.add_2 local.get_1 i64.add_3 SET2,17.0,17.0
2161,montgomerydouble.wasm_function_13_block_0_27,local.set[local_index(3)] local.get[local_index(4)] i64.const[4294967295] i64.and local.get[local_index(15)] local.get[local_index(10)] i64.mul i64.add local.set[local_index(4)] local.get[local_index(3)] local.get[local_index(4)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(4)] i64.const[4294967295] i64.and local.get[local_index(17)] local.get[local_index(8)],10,106.23,optimal,20,True,True,20,3,True,,local.get_1 local.get_2 i64.mul_0 GET2 i64.const_0 i64.and_0 i64.add_0 TEE2 i64.const_1 i64.shr_u_0 i64.add_1 SET1 i64.const_0 GET2 i64.and_1 local.get_3 local.get_0,17.0,17.0
2162,montgomery2edwards.wasm_function_14_block_0_37,local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(9)] local.get[local_index(12)] i64.mul i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(10)] local.get[local_index(11)],10,87.28,optimal,20,True,True,20,3,True,,local.get_0 local.get_3 i64.mul_0 i64.const_0 GET1 i64.and_0 i64.add_0 TEE1 i64.const_1 i64.shr_u_0 i64.add_1 SET2 GET1 i64.const_0 i64.and_1 local.get_1 local.get_2,17.0,17.0
2163,escalarmulw4table_test3.wasm_function_14_block_0_17,"i64.const[4294967295] i64.and local.get[local_index(6)] local.get[local_index(0)] i64.load32_u[2,20] local.tee[local_index(11)] i64.mul i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(7)] local.get[local_index(10)]",10,263.03,optimal,20,True,True,20,1,True,,i64.const_0 i64.and_0 local.get_1 local.get_0 i64.load32_u_4 TEE3 i64.mul_0 i64.add_0 TEE1 GET2 GET1 i64.const_1 i64.shr_u_0 i64.add_1 SET2 i64.const_0 i64.and_1 local.get_2 local.get_3,19.0,19.0
2164,greatereqthan.wasm_function_13_block_0_33,i64.add local.set[local_index(4)] local.get[local_index(3)] i64.const[4294967295] i64.and local.get[local_index(17)] local.get[local_index(10)] i64.mul i64.add local.set[local_index(3)] local.get[local_index(4)] local.get[local_index(3)] i64.const[32] i64.shr_u i64.add local.set[local_index(4)] local.get[local_index(3)] i64.const[4294967295] i64.and local.get[local_index(19)],10,93.37,optimal,20,True,True,20,3,True,,i64.add_1 local.get_1 local.get_0 i64.mul_0 GET1 i64.const_0 i64.and_0 i64.add_0 TEE1 i64.const_1 i64.shr_u_0 i64.add_2 SET2 GET1 i64.const_0 i64.and_1 local.get_2,17.0,17.0
2165,mux1_1.wasm_function_14_block_0_2,"i64.const[32] i64.shr_u local.set[local_index(5)] i64.const[0] local.set[local_index(2)] i64.const[0] local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(6)] local.get[local_index(0)] i64.load32_u[2,4] local.tee[local_index(7)] i64.mul i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32]",10,32.53,optimal,20,True,True,20,8,True,,i64.const_0 i64.shr_u_0 SET3 i64.const_1 TEE2 local.get_0 i64.load32_u_12 TEE4 local.get_1 i64.mul_0 TEE1 i64.const_0,12.0,12.0
2166,lesseqthan.wasm_function_11_block_0_0,"local.get[local_index(0)] i64.load32_u[2,0] local.get[local_index(1)] i64.load32_u[2,0] i64.add local.set[local_index(3)] local.get[local_index(2)] local.get[local_index(3)] i64.store32[2,0] local.get[local_index(0)] i64.load32_u[2,4] local.get[local_index(1)] i64.load32_u[2,4] i64.add local.get[local_index(3)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)]",10,31.97,optimal,20,True,True,20,1,True,,local.get_2 local.get_1 i64.load32_u_3 local.get_0 i64.load32_u_1 i64.add_0 TEE1 i64.store32_8 local.get_2 local.get_0 i64.load32_u_10 local.get_1 i64.load32_u_12 i64.add_1 GET1 i64.const_0 i64.shr_u_0 i64.add_2 SET1,19.0,19.0
2167,lessthan.wasm_function_11_block_0_5,local.get[local_index(3)] i64.const[32] i64.shr_u i32.wrap_i64,10,0.25,optimal,4,True,True,4,0,True,,local.get_0 i64.const_0 i64.shr_u_0 i32.wrap_i64_0,4.0,4.0
2168,escalarmulw4table_test.wasm_function_14_block_0_9,"i64.const[4294967295] i64.and local.get[local_index(6)] local.get[local_index(0)] i64.load32_u[2,12] local.tee[local_index(9)] i64.mul i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(7)] local.get[local_index(8)]",10,65.17,optimal,20,True,True,20,1,True,,i64.const_0 i64.and_0 local.get_1 local.get_0 i64.load32_u_4 TEE3 i64.mul_0 i64.add_0 TEE1 GET2 GET1 i64.const_1 i64.shr_u_0 i64.add_1 SET2 i64.const_0 i64.and_1 local.get_2 local.get_3,19.0,19.0
