,block_id,previous_solution,timeout,model_found,shown_optimal,outcome,solver_time_in_sec,initial_n_instrs,initial_estimated_size,initial_estimated_gas,initial_length,saved_length,saved_size,saved_gas,solution_found,optimized_n_instrs,optimized_length,optimized_estimated_size,optimized_estimated_gas,checker,reason
33,EthPriceMintModule_run_code_of_0_block_30_0_input,POP PUSH [tag] 34 PUSH [tag] 35 CALLDATASIZE PUSH 4 PUSH [tag] 36,10,True,True,model,0.36,6,13,16,6,0,0,0,POP PUSH [tag] 34 PUSH [tag] 35 CALLDATASIZE PUSH 4 PUSH [tag] 36,6.0,6.0,13.0,16.0,True,
34,EthPriceMintModule_run_code_of_0_block_113_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD MSTORE PUSH 1d PUSH 24 DUP3 ADD MSTORE PUSH 416464726573733a2063616c6c20746f206e6f6e2d636f6e7472616374000000 PUSH 44 DUP3 ADD MSTORE PUSH 64 ADD PUSH [tag] 12,10,False,False,unsat,5.55,25,70,75,25,0,0,0,,,,,,True,
35,EthPriceMintModule_run_code_of_0_block_135_0_input,POP MUL SWAP1,10,True,True,model,0.26,3,3,10,3,0,0,0,POP MUL SWAP1,3.0,3.0,3.0,10.0,True,
36,EthPriceMintModule_run_code_of_0_block_60_0_input,PUSH 1 PUSH 1 PUSH a0 SHL SUB AND CALLVALUE PUSH 40 MLOAD PUSH0 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 DUP6 DUP8,10,True,True,model,3.78,18,23,52,18,3,5,10,PUSH 1 DUP1 PUSH a0 SHL SUB AND CALLVALUE PUSH 40 MLOAD PUSH0 DUP2 DUP2 DUP2 CALLVALUE DUP8,15.0,15.0,18.0,42.0,True,
37,EthPriceMintModule_run_code_of_0_block_74_0_input,POP POP POP POP PUSH 40 MLOAD RETURNDATASIZE PUSH 1f NOT PUSH 1f DUP3 ADD AND DUP3 ADD DUP1 PUSH 40 MSTORE POP DUP2 ADD SWAP1 PUSH [tag] 108 SWAP2 SWAP1 PUSH [tag] 83,10,False,False,unsat,2.99,26,34,72,26,0,0,0,,,,,,True,
38,EthPriceMintModule_run_code_of_0_block_72_0_input,DUP1 PUSH 1 PUSH 1 PUSH a0 SHL SUB AND PUSH 8da5cb5b PUSH 40 MLOAD DUP2 PUSH ffffffff AND PUSH e0 SHL DUP2 MSTORE PUSH 4 ADD PUSH 20 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 DUP7,10,False,False,unsat,4.06,27,43,81,27,0,0,0,,,,,,True,
39,EthPriceMintModule_run_code_of_0_block_79_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD MSTORE PUSH 1f PUSH 24 DUP3 ADD MSTORE PUSH 5265656e7472616e637947756172643a207265656e7472616e742063616c6c00 PUSH 44 DUP3 ADD MSTORE PUSH 64 ADD PUSH [tag] 12,10,False,False,unsat,6.4,25,70,75,25,0,0,0,,,,,,True,
40,EthPriceMintModule_run_code_of_0_block_38_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 4 ADD PUSH [tag] 12 SWAP1 PUSH [tag] 48,10,False,False,unsat,1.12,12,22,36,12,0,0,0,,,,,,True,
41,EthPriceMintModule_run_code_of_0_block_60_2_input,SWAP3 POP POP POP RETURNDATASIZE DUP1 PUSH0 DUP2 EQ PUSH [tag] 88,10,True,True,model,0.56,10,12,25,10,1,1,4,SWAP3 POP POP POP RETURNDATASIZE RETURNDATASIZE RETURNDATASIZE ISZERO PUSH [tag] 88,9.0,9.0,11.0,21.0,True,
42,EthPriceMintModule_run_code_of_0_block_105_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD MSTORE PUSH 26 PUSH 24 DUP3 ADD MSTORE PUSH 416464726573733a20696e73756666696369656e742062616c616e636520666f PUSH 44 DUP3 ADD MSTORE PUSH 1c8818d85b1b PUSH d2 SHL PUSH 64 DUP3 ADD MSTORE PUSH 84 ADD PUSH [tag] 12,10,False,False,unsat,10.16,32,85,96,32,0,0,0,,,,,,True,
43,EthPriceMintModule_run_code_of_0_block_109_0_input,PUSH 60 SWAP2 POP,10,True,True,model,0.14,3,4,8,3,0,0,0,PUSH 60 SWAP2 POP,3.0,3.0,4.0,8.0,True,
44,EthPriceMintModule_run_code_of_0_block_46_2_input,ISZERO DUP1 ISZERO PUSH [tag] 61,10,True,True,model,0.19,4,6,12,4,0,0,0,ISZERO DUP1 ISZERO PUSH [tag] 61,4.0,4.0,6.0,12.0,True,
45,EthPriceMintModule_run_code_of_0_block_147_0_input,PUSH0 DUP5 DUP5 ADD MSTORE,10,True,True,model,0.22,5,5,14,5,0,0,0,PUSH0 DUP4 DUP6 ADD MSTORE,5.0,5.0,5.0,14.0,True,
46,EthPriceMintModule_run_code_of_0_block_81_0_input,PUSH [tag] 117 DUP2 PUSH0 PUSH [tag] 118,10,True,True,model,0.2,4,8,11,4,0,0,0,PUSH [tag] 117 DUP2 PUSH0 PUSH [tag] 118,4.0,4.0,8.0,11.0,True,
47,EthPriceMintModule_run_code_of_0_block_122_0_input,DUP4 CALLDATALOAD PUSH [tag] 185 DUP2 PUSH [tag] 177,10,True,True,model,0.27,5,9,15,5,0,0,0,DUP4 CALLDATALOAD PUSH [tag] 185 DUP2 PUSH [tag] 177,5.0,5.0,9.0,15.0,True,
48,EthPriceMintModule_run_code_of_0_block_19_0_input,PUSH [tag] 22,10,True,True,model,0.12,1,3,3,1,0,0,0,PUSH [tag] 22,1.0,1.0,3.0,3.0,True,
49,EthPriceMintModule_run_code_of_0_block_41_1_input,POP POP POP,10,True,True,model,0.13,3,3,6,3,0,0,0,POP POP POP,3.0,3.0,3.0,6.0,True,
50,EthPriceMintModule_run_code_of_0_block_90_0_input,DUP1 ISZERO PUSH [tag] 135,10,True,True,model,0.17,3,5,9,3,0,0,0,DUP1 ISZERO PUSH [tag] 135,3.0,3.0,5.0,9.0,True,
51,EthPriceMintModule_run_code_of_0_block_104_0_input,PUSH 60 DUP3 SELFBALANCE LT ISZERO PUSH [tag] 150,10,True,True,model,0.39,6,9,20,6,0,0,0,PUSH 60 DUP3 SELFBALANCE LT ISZERO PUSH [tag] 150,6.0,6.0,9.0,20.0,True,
52,EthPriceMintModule_run_code_of_0_block_67_0_input,POP POP POP POP PUSH 40 MLOAD RETURNDATASIZE PUSH 1f NOT PUSH 1f DUP3 ADD AND DUP3 ADD DUP1 PUSH 40 MSTORE POP DUP2 ADD SWAP1 PUSH [tag] 96 SWAP2 SWAP1 PUSH [tag] 97,10,False,False,unsat,2.86,26,34,72,26,0,0,0,,,,,,True,
53,EthPriceMintModule_run_code_of_0_block_126_0_input,PUSH0 DUP1,10,True,True,model,0.17,2,2,5,2,0,0,0,PUSH0 DUP1,2.0,2.0,2.0,5.0,True,
54,EthPriceMintModule_run_code_of_0_block_12_0_input,PUSH0 DUP1,10,True,True,model,0.12,2,2,5,2,0,0,0,PUSH0 DUP1,2.0,2.0,2.0,5.0,True,
55,EthPriceMintModule_run_code_of_0_block_64_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD MSTORE PUSH 31 PUSH 24 DUP3 ADD MSTORE PUSH 45746850726963654d696e744d6f64756c653a204661696c656420746f207365 PUSH 44 DUP3 ADD MSTORE PUSH 37321022ba3432b9103a379037bbb732b9 PUSH 79 SHL PUSH 64 DUP3 ADD MSTORE PUSH 84 ADD PUSH [tag] 12,10,False,False,unsat,10.09,32,96,96,32,0,0,0,,,,,,True,
