,block_id,previous_solution,timeout,model_found,shown_optimal,outcome,solver_time_in_sec,initial_n_instrs,initial_estimated_size,initial_estimated_gas,initial_length,saved_length,saved_size,saved_gas,solution_found,optimized_n_instrs,optimized_length,optimized_estimated_size,optimized_estimated_gas,checker,reason
406,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_244_0_input,PUSH a SLOAD PUSH 1 PUSH 1 PUSH a0 SHL SUB AND CALLER EQ PUSH [tag] 314,10,TRUE,TRUE,model,0.85,11,17,2129,11,0,1,0,CALLER PUSH 1 DUP1 PUSH a0 SHL SUB PUSH a SLOAD AND EQ PUSH [tag] 314,11,11,16,2129,TRUE,
407,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_initial_block_55_0_input,PUSH #[$] 0 DUP1 PUSH [$] 0 PUSH0,10,TRUE,TRUE,model,0.16,4,10,11,4,0,0,0,PUSH #[$] 0 DUP1 PUSH [$] 0 PUSH0,4,4,10,11,TRUE,
408,0x6237CeA65f68d9b78586728f4eDa3ddD1C3793bF_Ownable_initial_block_2_1_input,PUSH 40 MLOAD SWAP1 SWAP2 DUP3 SWAP2 PUSH 8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e0 SWAP1 DUP3 SWAP1,10,TRUE,TRUE,model,0.32,10,43,30,10,4,4,12,DUP1 SWAP2 PUSH 8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e0 DUP2 PUSH 40 MLOAD,6,6,39,18,TRUE,
409,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_210_0_input,DUP3 DUP3 DUP2 MLOAD DUP2 LT PUSH [tag] 254,10,TRUE,TRUE,model,0.26,7,9,21,7,0,0,0,DUP3 DUP3 DUP5 MLOAD DUP5 LT PUSH [tag] 254,7,7,9,21,TRUE,
410,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_run_code_of_0_block_147_0_input,PUSH f8 SHL DUP2 DUP4 DUP2 MLOAD DUP2 LT PUSH [tag] 219,10,TRUE,TRUE,model,0.36,9,12,27,9,0,0,0,PUSH f8 SHL DUP2 DUP4 DUP4 MLOAD DUP2 LT PUSH [tag] 219,9,9,12,27,TRUE,
411,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_275_3_input,KECCAK256 SLOAD PUSH 9 DUP1 SLOAD SWAP3 SWAP4 POP PUSH [tag] 438 SWAP3 DUP7 SWAP1 DUP2 LT PUSH [tag] 440,10,TRUE,TRUE,model,60.35,15,20,4265,15,2,2,6,KECCAK256 PUSH [tag] 438 SWAP2 SWAP3 POP SLOAD PUSH 9 DUP6 DUP2 SLOAD DUP8 LT PUSH [tag] 440,13,13,18,4259,TRUE,
412,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_run_code_of_0_block_113_1_input,SWAP1 SWAP2,10,TRUE,TRUE,model,0.12,2,2,6,2,0,0,0,SWAP1 SWAP2,2,2,2,6,TRUE,
413,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_369_0_input,PUSH0 PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP5 AND EXTCODESIZE ISZERO PUSH [tag] 499,10,TRUE,TRUE,model,1.09,11,16,2629,11,0,1,0,PUSH0 DUP4 PUSH 1 DUP1 PUSH a0 SHL SUB AND EXTCODESIZE ISZERO PUSH [tag] 499,11,11,15,2629,TRUE,
414,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_initial_block_46_0_input,DUP1 DUP6 AND ISZERO PUSH [tag] 87,10,TRUE,TRUE,model,0.19,5,7,15,5,0,0,0,DUP5 DUP2 AND ISZERO PUSH [tag] 87,5,5,7,15,TRUE,
415,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_run_code_of_0_block_99_0_input,PUSH [tag] 157 DUP4 DUP4 PUSH [tag] 140,10,TRUE,TRUE,model,0.17,4,8,12,4,0,0,0,PUSH [tag] 157 DUP4 DUP4 PUSH [tag] 140,4,4,8,12,TRUE,
416,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_569_0_input,POP PUSH0 PUSH [tag] 713 DUP5 DUP7 PUSH [tag] 680,10,TRUE,TRUE,model,0.27,6,10,16,6,0,0,0,POP PUSH0 PUSH [tag] 713 DUP5 DUP7 PUSH [tag] 680,6,6,10,16,TRUE,
417,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_653_0_input,PUSH0 PUSH [tag] 892 PUSH [tag] 358,10,TRUE,TRUE,model,0.15,3,7,8,3,0,0,0,PUSH0 PUSH [tag] 892 PUSH [tag] 358,3,3,7,8,TRUE,
418,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_137_0_input,PUSH [tag] 130,10,TRUE,TRUE,model,0.11,1,3,3,1,0,0,0,PUSH [tag] 130,1,1,3,3,TRUE,
419,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_87_1_input,PUSH 40 DUP1 DUP4 ADD MLOAD SWAP1 DUP3 ADD MSTORE PUSH 60 SWAP2 DUP3 ADD MLOAD SWAP2 DUP2 ADD SWAP2 SWAP1 SWAP2,10,TRUE,TRUE,model,97.54,20,22,60,20,3,3,9,PUSH 60 DUP3 DUP2 PUSH 40 DUP1 DUP6 SWAP7 ADD MLOAD SWAP1 DUP7 ADD MSTORE ADD MLOAD SWAP2 ADD,17,17,19,51,TRUE,
420,0x6237CeA65f68d9b78586728f4eDa3ddD1C3793bF_PikaFin_initial_block_4_1_input,DUP2 ADD PUSH 40 DUP2 SWAP1 MSTORE PUSH [tag] 6 SWAP2 PUSH [tag] 7,10,TRUE,TRUE,model,0.4,9,14,27,9,1,1,3,DUP2 ADD PUSH [tag] 6 DUP2 PUSH 40 MSTORE SWAP2 PUSH [tag] 7,8,8,13,24,TRUE,
421,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_TokenRecover_initial_block_2_3_input,PUSH0,10,TRUE,TRUE,model,0.07,1,1,2,1,0,0,0,PUSH0,1,1,1,2,TRUE,
422,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_initial_block_28_0_input,PUSH [tag] 45 PUSH [tag] 21,10,TRUE,TRUE,model,0.12,2,6,6,2,0,0,0,PUSH [tag] 45 PUSH [tag] 21,2,2,6,6,TRUE,
423,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_246_0_input,POP PUSH0 PUSH [tag] 314 DUP5 DUP7 PUSH [tag] 165,10,TRUE,TRUE,model,0.27,6,10,16,6,0,0,0,POP PUSH0 PUSH [tag] 314 DUP5 DUP7 PUSH [tag] 165,6,6,10,16,TRUE,
424,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_724_0_input,DUP4 DUP2 LT ISZERO PUSH [tag] 988,10,TRUE,TRUE,model,0.18,5,7,15,5,0,0,0,DUP4 DUP2 LT ISZERO PUSH [tag] 988,5,5,7,15,TRUE,
425,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_102_0_input,PUSH 40 MLOAD SWAP1 ISZERO ISZERO DUP2 MSTORE PUSH 20 ADD PUSH [tag] 82,10,TRUE,TRUE,model,0.53,10,14,30,10,0,0,0,ISZERO ISZERO PUSH 20 PUSH 40 MLOAD SWAP2 DUP3 MSTORE ADD PUSH [tag] 82,10,10,14,30,TRUE,
426,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_185_0_input,PUSH0 DUP1,10,TRUE,TRUE,model,0.12,2,2,5,2,0,0,0,PUSH0 DUP1,2,2,2,5,TRUE,
427,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_initial_block_42_0_input,POP POP POP,10,TRUE,TRUE,model,0.13,3,3,6,3,0,0,0,POP POP POP,3,3,3,6,TRUE,
428,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_154_0_input,SWAP3 SWAP2 POP POP,10,TRUE,TRUE,model,0.12,4,4,10,4,0,0,0,SWAP3 SWAP2 POP POP,4,4,4,10,TRUE,
429,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_TokenRecover_run_code_of_0_block_8_0_input,PUSH [tag] 7 PUSH [tag] 8,10,TRUE,TRUE,model,0.12,2,6,6,2,0,0,0,PUSH [tag] 7 PUSH [tag] 8,2,2,6,6,TRUE,
430,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_634_0_input,PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP16 AND PUSH0 SWAP1 DUP2 MSTORE PUSH 4 PUSH 20,10,TRUE,TRUE,model,1.75,13,18,38,13,0,1,0,PUSH 1 DUP1 PUSH a0 SHL SUB DUP16 PUSH0 SWAP2 AND DUP2 MSTORE PUSH 4 PUSH 20,13,13,17,38,TRUE,
431,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_run_code_of_0_block_186_0_input,SWAP2 POP PUSH 40 DUP5 ADD CALLDATALOAD SWAP1 POP SWAP3 POP SWAP3 POP SWAP3,10,TRUE,TRUE,model,1.09,13,14,35,13,3,3,8,SWAP4 PUSH 40 ADD CALLDATALOAD SWAP4 SWAP5 POP POP POP SWAP3,10,10,11,27,TRUE,
432,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_402_3_input,ISZERO DUP1 ISZERO PUSH [tag] 488,10,TRUE,TRUE,model,0.15,4,6,12,4,0,0,0,ISZERO DUP1 ISZERO PUSH [tag] 488,4,4,6,12,TRUE,
433,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_run_code_of_0_block_87_0_input,POP POP POP POP POP SWAP1 POP SWAP1,10,TRUE,TRUE,model,0.2,8,8,18,8,0,0,0,POP POP POP POP POP SWAP2 SWAP1 POP,8,8,8,18,TRUE,
434,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_run_code_of_0_block_230_0_input,PUSH0 SWAP2 DUP3 MSTORE PUSH 20 DUP1 DUP4 KECCAK256 SWAP1 SWAP2 ADD SLOAD PUSH 1 PUSH 1 PUSH a0 SHL SUB AND DUP4,10,TRUE,FALSE,model,84.01,19,23,2180,19,1,2,3,PUSH 1 DUP1 PUSH a0 SHL SUB PUSH 20 SWAP2 DUP3 PUSH0 SWAP5 DUP6 MSTORE DUP5 KECCAK256 ADD SLOAD AND DUP4,18,18,21,2177,TRUE,
