,Unnamed: 0,block_id,previous_solution,timeout,model_found,shown_optimal,outcome,solver_time_in_sec,initial_n_instrs,initial_estimated_size,initial_estimated_gas,initial_length,saved_length,saved_size,saved_gas,solution_found,optimized_n_instrs,optimized_length,optimized_estimated_size,optimized_estimated_gas,checker,reason,category,real_savings
3933,3933,0x6488216d7aeC6AB3DbE55437704ab7731541a38a_SamuraiFinance_initial_block_19_0_input,PUSH0 DUP2 DUP2 MSTORE PUSH 20 DUP2 KECCAK256 PUSH 1f DUP6 ADD PUSH 5 SHR DUP2 ADD PUSH 20 DUP7 LT ISZERO PUSH [tag] 42,10,TRUE,TRUE,model,53.73,19,25,83,19,0,0,0,PUSH0 DUP2 DUP2 MSTORE PUSH 20 DUP2 KECCAK256 PUSH 1f DUP6 ADD PUSH 5 SHR DUP2 ADD PUSH 20 DUP7 LT ISZERO PUSH [tag] 42,19,19,25,83,TRUE,,config3_5_size,0
3935,3935,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_SeriumInvesting_run_code_of_0_block_235_0_input,PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP5 AND PUSH0 SWAP1 DUP2 MSTORE PUSH e PUSH 20 MSTORE PUSH 40 SWAP1 KECCAK256 SLOAD PUSH 3 SUB PUSH [tag] 292,10,TRUE,FALSE,model,282.52,21,30,2186,21,2,3,6,PUSH e PUSH 20 MSTORE PUSH 40 PUSH0 DUP6 PUSH 1 DUP1 PUSH a0 SHL SUB AND DUP2 MSTORE KECCAK256 SLOAD PUSH 3 SUB PUSH [tag] 292,19,19,27,2180,TRUE,,config3_5_size,3
3938,3938,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_run_code_of_0_block_81_0_input,DUP1 ISZERO PUSH [tag] 127,10,TRUE,TRUE,model,0.13,3,5,9,3,0,0,0,DUP1 ISZERO PUSH [tag] 127,3,3,5,9,TRUE,,config3_5_size,0
3939,3939,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_73_0_input,CALLVALUE DUP1 ISZERO PUSH [tag] 81,10,TRUE,TRUE,model,0.1,4,6,11,4,0,0,1,CALLVALUE CALLVALUE ISZERO PUSH [tag] 81,4,4,6,10,TRUE,,config3_5_size,0
3942,3942,0x6488216d7aeC6AB3DbE55437704ab7731541a38a_SamuraiFinance_run_code_of_0_block_131_1_input,PUSH 40 SWAP2 DUP3 SWAP1 KECCAK256 DUP1 SLOAD PUSH ff NOT AND DUP6 ISZERO ISZERO SWAP1 DUP2 OR SWAP1 SWAP2,10,TRUE,TRUE,model,81.75,18,20,2178,18,3,3,9,DUP4 ISZERO ISZERO PUSH 40 DUP1 SWAP4 KECCAK256 DUP1 SLOAD PUSH ff NOT AND DUP3 OR SWAP1,15,15,17,2169,TRUE,,config3_5_size,3
3945,3945,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_initial_block_39_0_input,DUP2 DUP2 LT ISZERO PUSH [tag] 57,10,TRUE,TRUE,model,0.17,5,7,15,5,0,0,0,DUP2 DUP2 LT ISZERO PUSH [tag] 57,5,5,7,15,TRUE,,config3_5_size,0
3948,3948,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_run_code_of_0_block_79_0_input,PUSH 60 PUSH 8 DUP1 SLOAD PUSH [tag] 124 SWAP1 PUSH [tag] 125,10,TRUE,TRUE,model,0.22,7,13,2118,7,1,1,3,PUSH 60 PUSH 8 PUSH [tag] 124 DUP2 SLOAD PUSH [tag] 125,6,6,12,2115,TRUE,,config3_5_size,1
3949,3949,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_22_0_input,DUP1 PUSH 70a08231 EQ PUSH [tag] 13,10,TRUE,TRUE,model,0.14,4,10,12,4,0,0,0,PUSH 70a08231 DUP2 EQ PUSH [tag] 13,4,4,10,12,TRUE,,config3_5_size,0
3951,3951,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_611_1_input,SWAP4 POP POP POP POP ISZERO DUP1 ISZERO PUSH [tag] 828,10,TRUE,TRUE,model,0.36,9,11,23,9,0,0,0,SWAP4 POP POP POP POP ISZERO DUP1 ISZERO PUSH [tag] 828,9,9,11,23,TRUE,,config3_5_size,0
3952,3952,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_run_code_of_0_block_153_2_input,SWAP3 POP POP POP DUP1 ISZERO PUSH [tag] 230,10,TRUE,TRUE,model,0.26,7,9,18,7,0,0,0,SWAP3 POP POP POP DUP1 ISZERO PUSH [tag] 230,7,7,9,18,TRUE,,config3_5_size,0
