,Unnamed: 0,block_id,previous_solution,timeout,model_found,shown_optimal,outcome,solver_time_in_sec,initial_n_instrs,initial_estimated_size,initial_estimated_gas,initial_length,saved_length,saved_size,saved_gas,solution_found,optimized_n_instrs,optimized_length,optimized_estimated_size,optimized_estimated_gas,checker,reason,category,real_savings
3,3,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_run_code_of_0_block_219_0_input,DUP2 MLOAD DUP1 ISZERO ISZERO DUP2 EQ PUSH [tag] 317,10,TRUE,TRUE,model,0.29,8,10,24,8,0,0,0,DUP2 MLOAD DUP1 DUP2 ISZERO ISZERO EQ PUSH [tag] 317,8,8,10,24,TRUE,,config3_5_size,0
4,4,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_307_0_input,PUSH 9 SLOAD ISZERO DUP1 ISZERO PUSH [tag] 401,10,TRUE,TRUE,model,0.18,6,9,2115,6,0,0,0,PUSH 9 SLOAD ISZERO DUP1 ISZERO PUSH [tag] 401,6,6,9,2115,TRUE,,config3_5_size,0
6,6,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_710_0_input,PUSH0 PUSH 1 DUP3 ADD PUSH [tag] 954,10,TRUE,TRUE,model,0.19,5,8,14,5,0,0,0,PUSH0 DUP2 PUSH 1 ADD PUSH [tag] 954,5,5,8,14,TRUE,,config3_5_size,0
8,8,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_SeriumInvesting_run_code_of_0_block_246_0_input,POP PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP4 AND PUSH0 SWAP1 DUP2 MSTORE PUSH 5 PUSH 20 MSTORE PUSH 40 SWAP1 KECCAK256 SLOAD PUSH ff AND,10,TRUE,FALSE,model,10.81,21,28,2185,21,1,2,3,PUSH 40 PUSH0 DUP6 PUSH 1 DUP1 PUSH a0 SHL SUB PUSH 5 PUSH ff SWAP6 POP PUSH 20 MSTORE AND DUP2 MSTORE KECCAK256 SLOAD AND,20,20,26,2182,TRUE,,config3_5_size,2
9,9,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_Ownable_run_code_of_0_block_0_0_input,PUSH 80 PUSH 40 MSTORE CALLVALUE DUP1 ISZERO PUSH [tag] 1,10,TRUE,TRUE,model,0.14,7,11,20,7,0,0,1,PUSH 80 PUSH 40 MSTORE CALLVALUE CALLVALUE ISZERO PUSH [tag] 1,7,7,11,19,TRUE,,config3_5_size,0
10,10,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_372_0_input,SWAP1 POP PUSH 4 SLOAD DUP2 LT ISZERO PUSH [tag] 591,10,TRUE,TRUE,model,0.31,8,11,2120,8,0,0,0,SWAP1 POP PUSH 4 SLOAD DUP2 LT ISZERO PUSH [tag] 591,8,8,11,2120,TRUE,,config3_5_size,0
15,15,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_405_0_input,PUSH 1 PUSH 1 PUSH e0 SHL SUB NOT DUP2 AND DUP2 EQ PUSH [tag] 562,10,TRUE,TRUE,model,0.37,11,16,33,11,0,1,0,PUSH 1 DUP1 PUSH e0 SHL SUB NOT DUP2 AND DUP2 EQ PUSH [tag] 562,11,11,15,33,TRUE,,config3_5_size,1
16,16,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_SeriumInvesting_run_code_of_0_block_1_0_input,PUSH0 CALLDATALOAD PUSH e0 SHR DUP1 PUSH 8da5cb5b GT PUSH [tag] 23,10,TRUE,TRUE,model,0.27,8,15,23,8,0,0,0,PUSH0 CALLDATALOAD PUSH e0 SHR DUP1 PUSH 8da5cb5b GT PUSH [tag] 23,8,8,15,23,TRUE,,config3_5_size,0
26,26,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_10_0_input,DUP1 PUSH a532ae77 EQ PUSH [tag] 25,10,TRUE,TRUE,model,0.11,4,10,12,4,0,0,0,PUSH a532ae77 DUP2 EQ PUSH [tag] 25,4,4,10,12,TRUE,,config3_5_size,0
27,27,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_386_0_input,PUSH0 PUSH 20 DUP3 DUP5 SUB SLT ISZERO PUSH [tag] 498,10,TRUE,TRUE,model,0.31,8,11,23,8,0,0,0,PUSH0 PUSH 20 DUP3 DUP5 SUB SLT ISZERO PUSH [tag] 498,8,8,11,23,TRUE,,config3_5_size,0
28,28,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_ERC20_run_code_of_0_block_37_0_input,PUSH [tag] 25 PUSH [tag] 59 CALLDATASIZE PUSH 4 PUSH [tag] 60,10,TRUE,TRUE,model,0.15,5,12,14,5,0,0,0,PUSH [tag] 25 PUSH [tag] 59 CALLDATASIZE PUSH 4 PUSH [tag] 60,5,5,12,14,TRUE,,config3_5_size,0
29,29,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_initial_block_55_0_input,PUSH 2 DUP2 EQ PUSH [tag] 93,10,TRUE,TRUE,model,0.14,4,7,12,4,0,0,0,PUSH 2 DUP2 EQ PUSH [tag] 93,4,4,7,12,TRUE,,config3_5_size,0
32,32,0x6488216d7aeC6AB3DbE55437704ab7731541a38a_SamuraiFinance_initial_block_25_0_input,DUP2 MLOAD PUSH 1 PUSH 1 PUSH 40 SHL SUB DUP2 GT ISZERO PUSH [tag] 49,10,TRUE,TRUE,model,0.52,11,16,33,11,0,1,0,DUP2 MLOAD PUSH 1 DUP1 PUSH 40 SHL SUB DUP2 GT ISZERO PUSH [tag] 49,11,11,15,33,TRUE,,config3_5_size,1
34,34,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_run_code_of_0_block_67_0_input,PUSH [tag] 27 PUSH [tag] 105 CALLDATASIZE PUSH 4 PUSH [tag] 72,10,TRUE,TRUE,model,0.11,5,12,14,5,0,0,0,PUSH [tag] 27 PUSH [tag] 105 CALLDATASIZE PUSH 4 PUSH [tag] 72,5,5,12,14,TRUE,,config3_5_size,0
37,37,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_Ownable_run_code_of_0_block_35_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 4 ADD PUSH [tag] 40 SWAP1 PUSH [tag] 41,10,TRUE,TRUE,model,1.91,12,22,36,12,1,1,3,PUSH [tag] 40 PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 4 ADD PUSH [tag] 41,11,11,21,33,TRUE,,config3_5_size,1
38,38,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_401_19_input,DUP3 SLOAD DUP1 DUP7 ADD DUP5 SSTORE DUP3 ADD DUP1 SLOAD DUP3 AND PUSH dc81a3450817a58d00f45c86d0368290088db848 OR SWAP1,10,TRUE,TRUE,model,5.68,16,36,7139,16,0,0,0,DUP3 SLOAD DUP1 DUP7 ADD DUP5 SSTORE DUP3 ADD DUP2 DUP2 SLOAD AND PUSH dc81a3450817a58d00f45c86d0368290088db848 OR SWAP1,16,16,36,7139,TRUE,,config3_5_size,0
42,42,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_SeriumInvesting_run_code_of_0_block_166_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD MSTORE PUSH 22 PUSH 24 DUP3 ADD MSTORE PUSH 45524332303a20617070726f766520746f20746865207a65726f206164647265 PUSH 44 DUP3 ADD,10,TRUE,TRUE,model,8.58,21,63,63,21,0,0,0,PUSH 40 MLOAD PUSH 20 DUP2 PUSH 461bcd PUSH e5 SHL DUP4 MSTORE PUSH 4 ADD MSTORE PUSH 22 PUSH 24 DUP3 ADD MSTORE PUSH 45524332303a20617070726f766520746f20746865207a65726f206164647265 PUSH 44 DUP3 ADD,21,21,63,63,TRUE,,config3_5_size,0
43,43,0x6237CeA65f68d9b78586728f4eDa3ddD1C3793bF_PikaFin_run_code_of_0_block_24_0_input,DUP1 PUSH 95ea7b3 EQ PUSH [tag] 5,10,TRUE,TRUE,model,0.16,4,10,12,4,0,0,0,PUSH 95ea7b3 DUP2 EQ PUSH [tag] 5,4,4,10,12,TRUE,,config3_5_size,0
49,49,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_436_0_input,SWAP3 POP PUSH [tag] 592 PUSH 20 DUP6 ADD PUSH [tag] 553,10,TRUE,TRUE,model,0.3,7,12,20,7,0,0,0,SWAP3 POP PUSH [tag] 592 PUSH 20 DUP6 ADD PUSH [tag] 553,7,7,12,20,TRUE,,config3_5_size,0
50,50,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_ERC20_run_code_of_0_block_60_1_input,SWAP1 SWAP2,10,TRUE,TRUE,model,0.11,2,2,6,2,0,0,0,SWAP1 SWAP2,2,2,2,6,TRUE,,config3_5_size,0
53,53,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_217_0_input,PUSH d SLOAD DUP3 SUB PUSH [tag] 263,10,TRUE,TRUE,model,0.19,5,8,2112,5,0,0,0,PUSH d SLOAD DUP3 SUB PUSH [tag] 263,5,5,8,2112,TRUE,,config3_5_size,0
54,54,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_363_0_input,SWAP3 SWAP6 SWAP3 SWAP5 POP POP POP PUSH 40 SWAP2 SWAP1 SWAP2 ADD CALLDATALOAD SWAP1,10,TRUE,TRUE,model,0.86,14,15,39,14,4,4,12,SWAP5 POP POP SWAP2 PUSH 40 ADD CALLDATALOAD SWAP2 POP SWAP3,10,10,11,27,TRUE,,config3_5_size,4
59,59,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_272_0_input,CALLVALUE DUP1 ISZERO PUSH [tag] 297,10,TRUE,TRUE,model,0.13,4,6,11,4,0,0,1,CALLVALUE CALLVALUE ISZERO PUSH [tag] 297,4,4,6,10,TRUE,,config3_5_size,0
61,61,0x6488216d7aeC6AB3DbE55437704ab7731541a38a_ERC20_run_code_of_0_block_61_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD MSTORE PUSH 25 PUSH 24 DUP3 ADD MSTORE PUSH 45524332303a2064656372656173656420616c6c6f77616e63652062656c6f77 PUSH 44 DUP3 ADD,10,TRUE,TRUE,model,7.57,21,63,63,21,0,0,0,PUSH 40 MLOAD PUSH 20 DUP2 PUSH 461bcd PUSH e5 SHL DUP4 MSTORE PUSH 4 ADD MSTORE PUSH 25 PUSH 24 DUP3 ADD MSTORE PUSH 45524332303a2064656372656173656420616c6c6f77616e63652062656c6f77 PUSH 44 DUP3 ADD,21,21,63,63,TRUE,,config3_5_size,0
62,62,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_run_code_of_0_block_26_0_input,PUSH 40 MLOAD PUSH [tag] 22 SWAP2 SWAP1 PUSH [tag] 27,10,TRUE,TRUE,model,0.17,6,11,18,6,1,1,3,PUSH [tag] 22 SWAP1 PUSH 40 MLOAD PUSH [tag] 27,5,5,10,15,TRUE,,config3_5_size,1
64,64,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_run_code_of_0_block_282_0_input,DUP1 CALLDATALOAD PUSH ff DUP2 AND DUP2 EQ PUSH [tag] 307,10,TRUE,TRUE,model,0.29,8,11,24,8,0,0,0,DUP1 CALLDATALOAD DUP1 PUSH ff DUP3 AND EQ PUSH [tag] 307,8,8,11,24,TRUE,,config3_5_size,0
66,66,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_178_1_input,PUSH 7373 PUSH f0 SHL PUSH 64 DUP3 ADD,10,TRUE,TRUE,model,0.2,6,10,18,6,0,0,0,PUSH 7373 PUSH f0 SHL PUSH 64 DUP3 ADD,6,6,10,18,TRUE,,config3_5_size,0
67,67,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_337_0_input,PUSH0 PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP4 AND PUSH [tag] 533,10,TRUE,TRUE,model,0.32,9,14,26,9,0,1,0,PUSH0 PUSH 1 DUP1 PUSH a0 SHL SUB DUP4 AND PUSH [tag] 533,9,9,13,26,TRUE,,config3_5_size,1
72,72,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_158_0_input,CALLVALUE DUP1 ISZERO PUSH [tag] 160,10,TRUE,TRUE,model,0.09,4,6,11,4,0,0,1,CALLVALUE CALLVALUE ISZERO PUSH [tag] 160,4,4,6,10,TRUE,,config3_5_size,0
73,73,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_480_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 4 ADD PUSH [tag] 350 SWAP1 PUSH [tag] 390,10,TRUE,TRUE,model,1.88,12,22,36,12,1,1,3,PUSH [tag] 350 PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 4 ADD PUSH [tag] 390,11,11,21,33,TRUE,,config3_5_size,1
78,78,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_SeriumInvesting_run_code_of_0_block_356_0_input,SWAP3 SWAP6 SWAP3 SWAP5 POP POP POP PUSH 40 SWAP2 SWAP1 SWAP2 ADD CALLDATALOAD SWAP1,10,TRUE,TRUE,model,0.89,14,15,39,14,4,4,12,SWAP5 POP POP SWAP2 PUSH 40 ADD CALLDATALOAD SWAP2 POP SWAP3,10,10,11,27,TRUE,,config3_5_size,4
81,81,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_166_0_input,PUSH 40 MLOAD PUSH 40c10f19 PUSH e0 SHL DUP2 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP4 DUP2 AND PUSH 4 DUP4 ADD,10,TRUE,TRUE,model,54.37,18,28,54,18,0,1,0,PUSH 40 MLOAD PUSH 1 DUP1 PUSH a0 PUSH 40c10f19 PUSH e0 SHL DUP5 MSTORE SHL SUB DUP1 DUP5 AND PUSH 4 DUP4 ADD,18,18,27,54,TRUE,,config3_5_size,1
89,89,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_482_0_input,PUSH 20 DUP3 LT DUP2 SUB PUSH [tag] 630,10,TRUE,TRUE,model,0.19,6,9,18,6,0,0,0,PUSH 20 DUP3 LT DUP2 SUB PUSH [tag] 630,6,6,9,18,TRUE,,config3_5_size,0
91,91,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_initial_block_48_0_input,PUSH0 DUP5 ISZERO PUSH [tag] 66,10,TRUE,TRUE,model,0.18,4,6,11,4,0,0,0,PUSH0 DUP5 ISZERO PUSH [tag] 66,4,4,6,11,TRUE,,config3_5_size,0
92,92,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_run_code_of_0_block_150_1_input,SWAP1 KECCAK256 SLOAD DUP3 LT ISZERO PUSH [tag] 215,10,TRUE,TRUE,model,0.18,7,9,2145,7,0,0,0,SWAP1 KECCAK256 SLOAD DUP3 LT ISZERO PUSH [tag] 215,7,7,9,2145,TRUE,,config3_5_size,0
94,94,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_ERC20_initial_block_16_0_input,DUP4 DUP3 LT ISZERO PUSH [tag] 27,10,TRUE,TRUE,model,0.2,5,7,15,5,0,0,0,DUP4 DUP3 LT ISZERO PUSH [tag] 27,5,5,7,15,TRUE,,config3_5_size,0
98,98,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_345_0_input,PUSH 40 MLOAD DUP5 DUP2 MSTORE CALLER SWAP1 PUSH 7084f5476618d8e60b11ef0d7d3f06914655adb8793e28ff7f018d4c76d505d5 SWAP1 PUSH 20 ADD PUSH 40 MLOAD DUP1 SWAP2 SUB SWAP1,10,TRUE,TRUE,model,23.06,17,52,50,17,1,2,3,CALLER PUSH 7084f5476618d8e60b11ef0d7d3f06914655adb8793e28ff7f018d4c76d505d5 DUP6 PUSH 40 DUP1 MLOAD SWAP2 DUP3 MSTORE MLOAD DUP1 SWAP2 PUSH 20 ADD SUB SWAP1,16,16,50,47,TRUE,,config3_5_size,2
99,99,0x6237CeA65f68d9b78586728f4eDa3ddD1C3793bF_PikaFin_run_code_of_0_block_183_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD MSTORE PUSH 25 PUSH 24 DUP3 ADD MSTORE PUSH 45524332303a207472616e736665722066726f6d20746865207a65726f206164 PUSH 44 DUP3 ADD,10,TRUE,TRUE,model,7.86,21,63,63,21,0,0,0,PUSH 40 MLOAD PUSH 20 DUP2 PUSH 461bcd PUSH e5 SHL DUP4 MSTORE PUSH 4 ADD MSTORE PUSH 25 PUSH 24 DUP3 ADD MSTORE PUSH 45524332303a207472616e736665722066726f6d20746865207a65726f206164 PUSH 44 DUP3 ADD,21,21,63,63,TRUE,,config3_5_size,0
101,101,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_621_0_input,PUSH 1 PUSH 1 PUSH a0 SHL SUB SWAP3 DUP4 AND PUSH 20 SWAP2 DUP3 MUL SWAP3 SWAP1 SWAP3 ADD ADD,10,TRUE,TRUE,model,22.05,17,21,53,17,3,3,9,PUSH 20 MUL ADD PUSH 20 PUSH 1 DUP1 PUSH a0 SHL SUB SWAP3 DUP4 AND SWAP2 ADD,14,14,18,44,TRUE,,config3_5_size,3
102,102,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_212_0_input,POP PUSH 14 SLOAD PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP6 DUP2 AND SWAP2 AND EQ ISZERO,10,TRUE,TRUE,model,5.15,15,19,2141,15,0,1,0,POP PUSH 14 PUSH 1 DUP1 PUSH a0 SHL SUB DUP6 DUP2 AND SWAP2 SLOAD AND EQ ISZERO,15,15,18,2141,TRUE,,config3_5_size,1
104,104,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_250_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD MSTORE PUSH 9 PUSH 24 DUP3 ADD MSTORE PUSH 13585e081b1a5b5a5d PUSH ba SHL PUSH 44 DUP3 ADD,10,TRUE,FALSE,model,24.43,23,43,69,23,0,0,0,PUSH 40 MLOAD PUSH 13585e081b1a5b5a5d PUSH 20 DUP3 PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 4 ADD MSTORE PUSH ba PUSH 9 PUSH 24 DUP5 ADD MSTORE SHL PUSH 44 DUP3 ADD,23,23,43,69,TRUE,,config3_5_size,0
105,105,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_31_0_input,DUP1 PUSH 7f8b35bf EQ PUSH [tag] 16,10,TRUE,TRUE,model,0.14,4,10,12,4,0,0,0,PUSH 7f8b35bf DUP2 EQ PUSH [tag] 16,4,4,10,12,TRUE,,config3_5_size,0
106,106,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_144_0_input,POP PUSH [tag] 52 PUSH [tag] 160 CALLDATASIZE PUSH 4 PUSH [tag] 59,10,TRUE,TRUE,model,0.18,6,13,16,6,0,0,0,POP PUSH [tag] 52 PUSH [tag] 160 CALLDATASIZE PUSH 4 PUSH [tag] 59,6,6,13,16,TRUE,,config3_5_size,0
108,108,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_Ownable_run_code_of_0_block_5_0_input,DUP1 PUSH f2fde38b EQ PUSH [tag] 5,10,TRUE,TRUE,model,0.15,4,10,12,4,0,0,0,PUSH f2fde38b DUP2 EQ PUSH [tag] 5,4,4,10,12,TRUE,,config3_5_size,0
109,109,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_SeriumInvesting_run_code_of_0_block_301_0_input,PUSH 8 SLOAD ISZERO DUP1 ISZERO PUSH [tag] 377,10,TRUE,TRUE,model,0.18,6,9,2115,6,0,0,0,PUSH 8 SLOAD ISZERO DUP1 ISZERO PUSH [tag] 377,6,6,9,2115,TRUE,,config3_5_size,0
115,115,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_468_0_input,DUP1 PUSH 3 SUB PUSH [tag] 419,10,TRUE,TRUE,model,0.15,4,7,12,4,0,0,0,DUP1 PUSH 3 SUB PUSH [tag] 419,4,4,7,12,TRUE,,config3_5_size,0
117,117,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_run_code_of_0_block_151_0_input,PUSH0 PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP5 AND EXTCODESIZE ISZERO PUSH [tag] 226,10,TRUE,TRUE,model,0.61,11,16,2629,11,0,1,0,PUSH0 DUP4 PUSH 1 DUP1 PUSH a0 SHL SUB AND EXTCODESIZE ISZERO PUSH [tag] 226,11,11,15,2629,TRUE,,config3_5_size,1
118,118,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_SeriumInvesting_run_code_of_0_block_180_0_input,DUP1 ISZERO PUSH [tag] 247,10,TRUE,TRUE,model,0.08,3,5,9,3,0,0,0,DUP1 ISZERO PUSH [tag] 247,3,3,5,9,TRUE,,config3_5_size,0
130,130,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_run_code_of_0_block_215_0_input,DUP2 PUSH 40 MSTORE DUP3 DUP2 MSTORE DUP11 PUSH 20 DUP5 DUP8 ADD ADD GT ISZERO PUSH [tag] 297,10,TRUE,TRUE,model,3.52,15,19,45,15,0,0,0,DUP11 PUSH 20 DUP7 DUP6 ADD DUP5 PUSH 40 MSTORE ADD GT ISZERO PUSH [tag] 297 DUP5 DUP4 MSTORE,15,15,19,45,TRUE,,config3_5_size,0
132,132,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_499_0_input,DUP2 DUP2 LT ISZERO PUSH [tag] 653,10,TRUE,TRUE,model,0.17,5,7,15,5,0,0,0,DUP2 DUP2 LT ISZERO PUSH [tag] 653,5,5,7,15,TRUE,,config3_5_size,0
134,134,0x8CFeA40E059Eb393f49C103EA56C80bF8D2CA20a_GoldFarmFaaS_run_code_of_0_block_70_0_input,DUP1 PUSH 2e1a7d4d EQ PUSH [tag] 13,10,TRUE,TRUE,model,0.15,4,10,12,4,0,0,0,PUSH 2e1a7d4d DUP2 EQ PUSH [tag] 13,4,4,10,12,TRUE,,config3_5_size,0
135,135,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_run_code_of_0_block_18_0_input,DUP1 PUSH 8da5cb5b GT PUSH [tag] 27,10,TRUE,TRUE,model,0.14,4,10,12,4,0,0,0,DUP1 PUSH 8da5cb5b GT PUSH [tag] 27,4,4,10,12,TRUE,,config3_5_size,0
136,136,0x6237CeA65f68d9b78586728f4eDa3ddD1C3793bF_PikaFin_run_code_of_0_block_395_0_input,DUP4 MLOAD SWAP3 POP PUSH 20 DUP5 ADD MLOAD SWAP2 POP PUSH 40 DUP5 ADD MLOAD SWAP1 POP SWAP3 POP SWAP3 POP SWAP3,10,TRUE,TRUE,model,109.69,21,23,58,21,5,5,14,POP POP POP DUP1 MLOAD SWAP3 DUP2 PUSH 40 ADD MLOAD SWAP2 PUSH 20 ADD MLOAD SWAP3 POP,16,16,18,44,TRUE,,config3_5_size,5
142,142,0x6488216d7aeC6AB3DbE55437704ab7731541a38a_SamuraiFinance_run_code_of_0_block_164_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD MSTORE PUSH 21 PUSH 24 DUP3 ADD MSTORE PUSH 45524332303a206275726e2066726f6d20746865207a65726f20616464726573 PUSH 44 DUP3 ADD,10,TRUE,TRUE,model,7.49,21,63,63,21,0,0,0,PUSH 40 MLOAD PUSH 20 DUP2 PUSH 461bcd PUSH e5 SHL DUP4 MSTORE PUSH 4 ADD MSTORE PUSH 21 PUSH 24 DUP3 ADD MSTORE PUSH 45524332303a206275726e2066726f6d20746865207a65726f20616464726573 PUSH 44 DUP3 ADD,21,21,63,63,TRUE,,config3_5_size,0
146,146,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_initial_block_43_0_input,DUP2 MLOAD PUSH 1 PUSH 1 PUSH 40 SHL SUB DUP2 GT ISZERO PUSH [tag] 61,10,TRUE,TRUE,model,0.5,11,16,33,11,0,1,0,DUP2 MLOAD PUSH 1 DUP1 PUSH 40 SHL SUB DUP2 GT ISZERO PUSH [tag] 61,11,11,15,33,TRUE,,config3_5_size,1
147,147,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_142_0_input,PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP2 AND PUSH0 SWAP1 DUP2 MSTORE PUSH 6 PUSH 20 MSTORE PUSH 40 DUP2 KECCAK256 PUSH 1 ADD SLOAD PUSH [tag] 132 SWAP1 TIMESTAMP PUSH [tag] 165,10,TRUE,FALSE,model,75.07,24,35,2194,24,1,3,3,PUSH0 PUSH [tag] 132 TIMESTAMP PUSH 1 DUP1 DUP1 PUSH a0 PUSH 6 PUSH 20 MSTORE SHL SUB DUP6 AND DUP5 MSTORE PUSH 40 DUP5 KECCAK256 ADD SLOAD SWAP1 PUSH [tag] 165,23,23,32,2191,TRUE,,config3_5_size,3
148,148,0x6488216d7aeC6AB3DbE55437704ab7731541a38a_SamuraiFinance_run_code_of_0_block_121_1_input,SWAP1 SWAP2,10,TRUE,TRUE,model,0.12,2,2,6,2,0,0,0,SWAP1 SWAP2,2,2,2,6,TRUE,,config3_5_size,0
153,153,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_SeriumInvesting_run_code_of_0_block_25_0_input,DUP1 PUSH 18160ddd EQ PUSH [tag] 6,10,TRUE,TRUE,model,0.14,4,10,12,4,0,0,0,PUSH 18160ddd DUP2 EQ PUSH [tag] 6,4,4,10,12,TRUE,,config3_5_size,0
154,154,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_run_code_of_0_block_12_0_input,DUP1 PUSH 70a08231 EQ PUSH [tag] 13,10,TRUE,TRUE,model,0.13,4,10,12,4,0,0,0,PUSH 70a08231 DUP2 EQ PUSH [tag] 13,4,4,10,12,TRUE,,config3_5_size,0
160,160,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_117_2_input,SWAP1 SWAP2,10,TRUE,TRUE,model,0.13,2,2,6,2,0,0,0,SWAP1 SWAP2,2,2,2,6,TRUE,,config3_5_size,0
162,162,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_run_code_of_0_block_203_0_input,PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP14 AND PUSH0 SWAP1 DUP2 MSTORE PUSH 2 PUSH 20,10,TRUE,TRUE,model,1.54,13,18,38,13,1,2,4,PUSH 1 DUP1 PUSH a0 SHL SUB DUP14 AND PUSH0 MSTORE PUSH0 PUSH 2 PUSH 20,12,12,16,34,TRUE,,config3_5_size,2
