,block_id,previous_solution,timeout,solver_time_in_sec,outcome,initial_n_instrs,model_found,shown_optimal,initial_length,saved_length,checker,reason,solution_found,optimized_n_instrs,optimized_length
722,folder9_json_88,"local.set[local_index(1)] i32.const[73] call[function_index(0)] i32.store8[4,5] local.get[local_index(1)] i32.store16[5,2] i32.add i32.load[4,2] local.tee[local_index(1)]",10,0.23,optimal,9,True,True,9,0,True,,SET1 i32.const_0 call[function_index(0)]_2 i32.store8_3 GET1 i32.store16_5 i32.add_0 i32.load_7 TEE1,9.0,9.0
723,folder14_json_32,"local.set[local_index(1)] call[function_index(0)] local.get[local_index(1)] local.tee[local_index(0)] local.get[local_index(1)] i32.load16_u[0,5] i32.load16_u[4,1] local.get[local_index(1)] local.tee[local_index(0)] i32.store[0,1] i32.load16_s[4,0] i32.store8[0,1] local.tee[local_index(0)] local.get[local_index(0)]",10,0.64,optimal,14,True,True,14,2,True,,SET2 call[function_index(0)]_1 GET2 i32.load16_u_5 i32.load16_u_6 GET2 i32.store_9 GET2 i32.load16_s_10 i32.store8_11 TEE1 GET1,12.0,12.0
724,folder14_json_26,"i32.const[85] i32.add i32.load8_u[0,1] i32.const[65] i32.load8_u[4,3] i32.add local.set[local_index(1)] local.get[local_index(1)] local.tee[local_index(1)] i32.add i32.load8_s[1,1] i32.store[2,5] local.set[local_index(0)] i32.const[31]",10,2.28,optimal,14,True,True,14,2,True,,i32.const_1 i32.add_0 i32.load8_u_2 i32.const_2 i32.load8_u_4 i32.add_1 TEE2 i32.add_2 i32.load8_s_10 i32.store_11 SET1 i32.const_0,12.0,12.0
725,folder3_json_13,"i32.load8_u[1,4] local.set[local_index(0)] local.tee[local_index(1)]",10,0.04,optimal,3,True,True,3,0,True,,i32.load8_u_0 SET1 TEE2,3.0,3.0
726,folder7_json_78,"i32.load16_u[0,3] local.tee[local_index(1)] local.set[local_index(1)] i32.store8[0,2] i32.load8_u[2,2] i32.store[5,2] local.get[local_index(0)]",10,0.14,optimal,7,True,True,7,1,True,,i32.load16_u_0 SET1 i32.store8_3 i32.load8_u_4 i32.store_5 local.get_0,6.0,6.0
727,folder10_json_59,"local.get[local_index(0)] local.get[local_index(0)] call[function_index(0)] local.tee[local_index(1)] i32.sub i32.const[31] i32.load8_u[0,4] i32.store16[0,5] i32.sub local.set[local_index(1)]",10,0.26,optimal,10,True,True,10,1,True,,local.get_0 call[function_index(0)]_2 local.get_0 i32.sub_0 i32.const_0 i32.load8_u_6 i32.store16_7 i32.sub_1 SET1,9.0,9.0
728,folder10_json_71,"local.tee[local_index(1)] i32.store8[4,5] i32.load8_u[5,4] local.tee[local_index(1)] i32.const[30] i32.load16_s[0,1] local.set[local_index(1)] local.tee[local_index(0)] i32.add i32.load[0,5]",10,0.24,optimal,10,True,True,10,2,True,,i32.store8_1 i32.const_0 i32.load16_s_5 SET2 i32.load8_u_2 TEE1 i32.add_0 i32.load_9,8.0,8.0
729,folder7_json_44,"local.tee[local_index(0)] i32.const[2] i32.load8_s[2,3] local.set[local_index(1)] i32.const[66] call[function_index(0)] i32.const[53]",10,0.17,optimal,7,True,True,7,0,True,,i32.const_2 i32.load8_s_2 SET2 TEE1 i32.const_1 call[function_index(0)]_5 i32.const_0,7.0,7.0
730,folder10_json_65,"call[function_index(0)] local.set[local_index(0)] i32.add local.set[local_index(0)] i32.store[1,1] local.get[local_index(0)] i32.load[0,2] i32.store8[4,4] local.get[local_index(1)] i32.store[3,1]",10,0.27,optimal,10,True,True,10,0,True,,call[function_index(0)]_0 SET1 i32.add_0 SET1 i32.store_4 GET1 i32.load_6 i32.store8_7 local.get_0 i32.store_9,10.0,10.0
731,folder7_json_50,"i32.load16_u[2,2] local.tee[local_index(1)] local.set[local_index(0)] i32.load[5,0] local.get[local_index(0)] i32.store[5,4] local.tee[local_index(1)]",10,0.13,optimal,7,True,True,7,1,True,,i32.load16_u_0 SET1 i32.load_3 GET1 i32.store_5 TEE2,6.0,6.0
732,folder9_json_0,"local.tee[local_index(1)] local.get[local_index(1)] i32.store[5,0] local.set[local_index(0)] local.tee[local_index(0)] local.set[local_index(1)] local.tee[local_index(0)] local.set[local_index(0)] local.tee[local_index(0)]",10,0.12,optimal,9,True,True,9,2,True,,TEE1 GET1 i32.store_2 SET1 SET2 SET1 TEE1,7.0,7.0
733,folder7_json_87,"i32.store[4,5] i32.load8_s[3,0] i32.sub i32.const[100] i32.load[3,4] i32.load16_u[4,4] i32.load[4,5]",10,0.16,optimal,7,True,True,7,0,True,,i32.store_0 i32.load8_s_1 i32.sub_0 i32.const_0 i32.load_4 i32.load16_u_5 i32.load_6,7.0,7.0
